order_id,customer_name,customer_location,restaurant_name,cuisine,order_date,delivery_time_minutes,order_amount,delivery_partner,payment_method,rating,review_text,review_date,discount_applied,restaurant_location
100000,Customer_4,Ajman,Spice Kitchen,Chinese,2023-10-21,29,168.93,Talabat,Card,5,Very fast delivery,2023-10-23,True,Ajman
100001,Customer_154,Dubai,Taste Corner,Fast Food,2023-09-11,55,183.08,Careem,Wallet,1,Very fast delivery,2023-09-16,True,Dubai
100002,Customer_494,Al Ain,Royal Dine,Italian,2023-01-05,57,198.07,Zomato,Wallet,3,Good,2023-01-09,True,Dubai
100003,Customer_1672,Abu Dhabi,Royal Dine,Chinese,2023-08-25,38,171.56,Talabat,Card,3,Food was cold,2023-08-25,True,Sharjah
100004,Customer_444,Sharjah,Taste Corner,Chinese,2023-10-14,15,114.86,Talabat,Wallet,3,Excellent,2023-10-14,False,Al Ain
100005,Customer_1699,Abu Dhabi,Food Hub,Fast Food,2023-09-25,18,145.11,Careem,Cash,2,Poor,2023-09-26,True,Ajman
100006,Customer_126,Sharjah,Urban Bites,Indian,2023-07-17,38,50.62,Zomato,Cash,2,Excellent,2023-07-21,False,Dubai
100007,Customer_1607,Abu Dhabi,Food Hub,Chinese,2023-01-07,22,185.04,Deliveroo,Cash,1,Poor,2023-01-10,True,Ajman
100008,Customer_1405,Ajman,Food Hub,Chinese,2023-08-28,32,159.25,Talabat,Card,1,Food was cold,2023-08-29,False,Ajman
100009,Customer_1869,Sharjah,Spice Kitchen,Chinese,2023-04-26,47,22.62,Zomato,Card,1,Very fast delivery,2023-04-28,True,Sharjah
100010,Customer_322,Dubai,Urban Bites,Fast Food,2023-03-10,47,175.38,Zomato,Cash,1,Poor,2023-03-14,True,Dubai
100011,Customer_1710,Al Ain,Spice Kitchen,Fast Food,2023-04-21,55,64.15,Careem,Card,1,Excellent,2023-04-26,True,Al Ain
100012,Customer_1941,Ajman,Urban Bites,Arabic,2023-05-08,21,97.14,Zomato,Card,1,Food was cold,2023-05-09,True,Sharjah
100013,Customer_1627,Ajman,Royal Dine,Arabic,2023-03-04,46,29.24,Talabat,Card,5,Very fast delivery,2023-03-08,True,Al Ain
100014,Customer_959,Al Ain,Spice Kitchen,Italian,2023-06-07,37,173.7,Zomato,Cash,4,Poor,2023-06-11,True,Sharjah
100015,Customer_882,Ajman,Urban Bites,Chinese,2023-11-23,21,185.72,Careem,Card,2,Very fast delivery,2023-11-25,True,Sharjah
100016,Customer_328,Al Ain,Royal Dine,Italian,2023-10-05,43,99.63,Careem,Card,2,Very fast delivery,2023-10-06,True,Abu Dhabi
100017,Customer_1759,Sharjah,Spice Kitchen,Arabic,2023-10-22,42,74.16,Zomato,Wallet,3,Food was cold,2023-10-22,False,Al Ain
